auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.782	1	0.5	1.25	1.15
hpb	0.997	0.888	1	0.5	1.25	1.15
smra	1.0	0.928	1	0.5	1.25	1.15
sealed-MBP16	1.0	0.773	1	1	1.25	1.15
hpb	0.979	0.864	1	1	1.25	1.15
smra	0.984	0.914	1	1	1.25	1.15
sealed-MBP16	1.0	0.774	1	1.5	1.25	1.15
hpb	0.971	0.864	1	1.5	1.25	1.15
smra	0.977	0.917	1	1.5	1.25	1.15
sealed-MBP16	1.0	0.775	1	2	1.25	1.15
hpb	0.972	0.847	1	2	1.25	1.15
smra	0.992	0.957	1	2	1.25	1.15
sealed-MBP16	1.0	0.777	1	2.5	1.25	1.15
hpb	0.972	0.83	1	2.5	1.25	1.15
smra	0.992	0.949	1	2.5	1.25	1.15
sealed-MBP16	1.0	0.778	1	3	1.25	1.15
hpb	0.969	0.858	1	3	1.25	1.15
smra	0.992	0.929	1	3	1.25	1.15
