auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.771	0.5	1	1.25	1.15
hpb	0.996	0.934	0.5	1	1.25	1.15
smra	0.983	0.914	0.5	1	1.25	1.15
sealed-MBP16	1.0	0.773	1	1	1.25	1.15
hpb	0.996	0.934	1	1	1.25	1.15
smra	0.984	0.914	1	1	1.25	1.15
sealed-MBP16	1.0	0.775	1.5	1	1.25	1.15
hpb	0.996	0.941	1.5	1	1.25	1.15
smra	0.984	0.916	1.5	1	1.25	1.15
sealed-MBP16	1.0	0.778	2	1	1.25	1.15
hpb	0.996	0.936	2	1	1.25	1.15
smra	0.985	0.919	2	1	1.25	1.15
sealed-MBP16	1.0	0.78	2.5	1	1.25	1.15
hpb	0.996	0.932	2.5	1	1.25	1.15
smra	0.985	0.922	2.5	1	1.25	1.15
sealed-MBP16	1.0	0.782	3	1	1.25	1.15
hpb	0.996	0.946	3	1	1.25	1.15
smra	0.986	0.926	3	1	1.25	1.15
