auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.0	1	1	0.0	0.0
hpb	1.0	0.124	1	1	0.0	0.0
smra	1.0	0.124	1	1	0.0	0.0
sealed-MBP16	1.0	0.354	1	1	0.0	0.5
hpb	1.0	0.418	1	1	0.0	0.5
smra	1.0	0.416	1	1	0.0	0.5
sealed-MBP16	1.0	0.608	1	1	0.0	1.0
hpb	1.0	0.651	1	1	0.0	1.0
smra	1.0	0.649	1	1	0.0	1.0
sealed-MBP16	1.0	0.456	1	1	0.0	1.5
hpb	1.0	0.52	1	1	0.0	1.5
smra	1.0	0.524	1	1	0.0	1.5
sealed-MBP16	1.0	0.354	1	1	0.0	2.0
hpb	1.0	0.402	1	1	0.0	2.0
smra	1.0	0.406	1	1	0.0	2.0
sealed-MBP16	1.0	0.288	1	1	0.0	2.5
hpb	1.0	0.328	1	1	0.0	2.5
smra	1.0	0.331	1	1	0.0	2.5
sealed-MBP16	1.0	0.244	1	1	0.0	3.0
hpb	1.0	0.277	1	1	0.0	3.0
smra	1.0	0.28	1	1	0.0	3.0
sealed-MBP16	1.0	0.354	1	1	0.5	0.0
hpb	1.0	0.418	1	1	0.5	0.0
smra	1.0	0.416	1	1	0.5	0.0
sealed-MBP16	1.0	0.5	1	1	0.5	0.5
hpb	0.976	0.605	1	1	0.5	0.5
smra	1.0	0.593	1	1	0.5	0.5
sealed-MBP16	1.0	0.723	1	1	0.5	1.0
hpb	1.0	0.796	1	1	0.5	1.0
smra	1.0	0.799	1	1	0.5	1.0
sealed-MBP16	1.0	0.542	1	1	0.5	1.5
hpb	1.0	0.607	1	1	0.5	1.5
smra	1.0	0.634	1	1	0.5	1.5
sealed-MBP16	1.0	0.422	1	1	0.5	2.0
hpb	1.0	0.471	1	1	0.5	2.0
smra	1.0	0.493	1	1	0.5	2.0
sealed-MBP16	1.0	0.345	1	1	0.5	2.5
hpb	1.0	0.385	1	1	0.5	2.5
smra	1.0	0.403	1	1	0.5	2.5
sealed-MBP16	1.0	0.292	1	1	0.5	3.0
hpb	1.0	0.326	1	1	0.5	3.0
smra	1.0	0.341	1	1	0.5	3.0
sealed-MBP16	1.0	0.608	1	1	1.0	0.0
hpb	1.0	0.651	1	1	1.0	0.0
smra	1.0	0.649	1	1	1.0	0.0
sealed-MBP16	1.0	0.723	1	1	1.0	0.5
hpb	1.021	0.784	1	1	1.0	0.5
smra	1.0	0.799	1	1	1.0	0.5
sealed-MBP16	1.0	0.875	1	1	1.0	1.0
hpb	0.958	1.017	1	1	1.0	1.0
smra	1.0	1.026	1	1	1.0	1.0
sealed-MBP16	1.0	0.641	1	1	1.0	1.5
hpb	0.969	0.775	1	1	1.0	1.5
smra	0.985	0.762	1	1	1.0	1.5
sealed-MBP16	1.0	0.5	1	1	1.0	2.0
hpb	0.976	0.6	1	1	1.0	2.0
smra	0.976	0.627	1	1	1.0	2.0
sealed-MBP16	1.0	0.41	1	1	1.0	2.5
hpb	0.98	0.492	1	1	1.0	2.5
smra	0.98	0.514	1	1	1.0	2.5
sealed-MBP16	1.0	0.347	1	1	1.0	3.0
hpb	0.983	0.417	1	1	1.0	3.0
smra	0.983	0.435	1	1	1.0	3.0
sealed-MBP16	1.0	0.456	1	1	1.5	0.0
hpb	1.0	0.52	1	1	1.5	0.0
smra	1.0	0.524	1	1	1.5	0.0
sealed-MBP16	1.0	0.542	1	1	1.5	0.5
hpb	1.031	0.612	1	1	1.5	0.5
smra	1.0	0.61	1	1	1.5	0.5
sealed-MBP16	1.0	0.641	1	1	1.5	1.0
hpb	0.969	0.742	1	1	1.5	1.0
smra	0.969	0.747	1	1	1.5	1.0
sealed-MBP16	1.0	0.76	1	1	1.5	1.5
hpb	1.0	0.848	1	1	1.5	1.5
smra	1.0	0.84	1	1	1.5	1.5
sealed-MBP16	1.0	0.631	1	1	1.5	2.0
hpb	1.0	0.737	1	1	1.5	2.0
smra	1.0	0.739	1	1	1.5	2.0
sealed-MBP16	1.0	0.521	1	1	1.5	2.5
hpb	1.0	0.609	1	1	1.5	2.5
smra	1.0	0.61	1	1	1.5	2.5
sealed-MBP16	1.0	0.444	1	1	1.5	3.0
hpb	1.0	0.519	1	1	1.5	3.0
smra	1.0	0.52	1	1	1.5	3.0
sealed-MBP16	1.0	0.354	1	1	2.0	0.0
hpb	1.0	0.402	1	1	2.0	0.0
smra	1.0	0.406	1	1	2.0	0.0
sealed-MBP16	1.0	0.422	1	1	2.0	0.5
hpb	1.036	0.475	1	1	2.0	0.5
smra	1.0	0.474	1	1	2.0	0.5
sealed-MBP16	1.0	0.5	1	1	2.0	1.0
hpb	0.976	0.579	1	1	2.0	1.0
smra	0.976	0.582	1	1	2.0	1.0
sealed-MBP16	1.0	0.631	1	1	2.0	1.5
hpb	1.0	0.727	1	1	2.0	1.5
smra	1.0	0.717	1	1	2.0	1.5
sealed-MBP16	1.0	0.723	1	1	2.0	2.0
hpb	1.0	0.788	1	1	2.0	2.0
smra	1.0	0.784	1	1	2.0	2.0
sealed-MBP16	1.0	0.633	1	1	2.0	2.5
hpb	1.0	0.728	1	1	2.0	2.5
smra	1.0	0.711	1	1	2.0	2.5
sealed-MBP16	1.0	0.543	1	1	2.0	3.0
hpb	1.0	0.63	1	1	2.0	3.0
smra	1.0	0.628	1	1	2.0	3.0
sealed-MBP16	1.0	0.288	1	1	2.5	0.0
hpb	1.0	0.328	1	1	2.5	0.0
smra	1.0	0.331	1	1	2.5	0.0
sealed-MBP16	1.0	0.345	1	1	2.5	0.5
hpb	1.039	0.389	1	1	2.5	0.5
smra	1.0	0.388	1	1	2.5	0.5
sealed-MBP16	1.0	0.41	1	1	2.5	1.0
hpb	0.98	0.474	1	1	2.5	1.0
smra	0.98	0.477	1	1	2.5	1.0
sealed-MBP16	1.0	0.521	1	1	2.5	1.5
hpb	1.0	0.601	1	1	2.5	1.5
smra	1.0	0.592	1	1	2.5	1.5
sealed-MBP16	1.0	0.633	1	1	2.5	2.0
hpb	1.0	0.69	1	1	2.5	2.0
smra	1.0	0.709	1	1	2.5	2.0
sealed-MBP16	1.0	0.701	1	1	2.5	2.5
hpb	1.0	0.758	1	1	2.5	2.5
smra	1.0	0.749	1	1	2.5	2.5
sealed-MBP16	1.0	0.629	1	1	2.5	3.0
hpb	0.996	0.694	1	1	2.5	3.0
smra	1.0	0.685	1	1	2.5	3.0
sealed-MBP16	1.0	0.244	1	1	3.0	0.0
hpb	1.0	0.277	1	1	3.0	0.0
smra	1.0	0.28	1	1	3.0	0.0
sealed-MBP16	1.0	0.292	1	1	3.0	0.5
hpb	1.042	0.329	1	1	3.0	0.5
smra	1.0	0.328	1	1	3.0	0.5
sealed-MBP16	1.0	0.347	1	1	3.0	1.0
hpb	0.983	0.402	1	1	3.0	1.0
smra	0.983	0.404	1	1	3.0	1.0
sealed-MBP16	1.0	0.444	1	1	3.0	1.5
hpb	1.0	0.512	1	1	3.0	1.5
smra	1.0	0.505	1	1	3.0	1.5
