auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.0	1	1	0.0	0.0
hpb	1.0	0.124	1	1	0.0	0.0
smra	1.0	0.124	1	1	0.0	0.0
sealed-MBP16	1.0	0.354	1	1	0.0	0.5
hpb	1.0	0.418	1	1	0.0	0.5
smra	1.0	0.416	1	1	0.0	0.5
sealed-MBP16	1.0	0.608	1	1	0.0	1.0
hpb	1.0	0.651	1	1	0.0	1.0
smra	1.0	0.649	1	1	0.0	1.0
sealed-MBP16	1.0	0.456	1	1	0.0	1.5
hpb	1.0	0.52	1	1	0.0	1.5
smra	1.0	0.524	1	1	0.0	1.5
sealed-MBP16	1.0	0.354	1	1	0.0	2.0
hpb	1.0	0.402	1	1	0.0	2.0
smra	1.0	0.406	1	1	0.0	2.0
sealed-MBP16	1.0	0.288	1	1	0.0	2.5
hpb	1.0	0.328	1	1	0.0	2.5
smra	1.0	0.331	1	1	0.0	2.5
sealed-MBP16	1.0	0.244	1	1	0.0	3.0
hpb	1.0	0.277	1	1	0.0	3.0
smra	1.0	0.28	1	1	0.0	3.0
sealed-MBP16	1.0	0.354	1	1	0.5	0.0
hpb	1.0	0.418	1	1	0.5	0.0
smra	1.0	0.416	1	1	0.5	0.0
sealed-MBP16	1.0	0.5	1	1	0.5	0.5
hpb	0.976	0.594	1	1	0.5	0.5
smra	1.0	0.593	1	1	0.5	0.5
sealed-MBP16	1.0	0.723	1	1	0.5	1.0
hpb	0.798	0.432	1	1	0.5	1.0
smra	1.0	0.799	1	1	0.5	1.0
sealed-MBP16	1.0	0.542	1	1	0.5	1.5
hpb	0.845	0.523	1	1	0.5	1.5
smra	1.0	0.634	1	1	0.5	1.5
sealed-MBP16	1.0	0.422	1	1	0.5	2.0
hpb	0.759	0.406	1	1	0.5	2.0
smra	1.0	0.493	1	1	0.5	2.0
sealed-MBP16	1.0	0.345	1	1	0.5	2.5
hpb	0.704	0.332	1	1	0.5	2.5
smra	1.0	0.403	1	1	0.5	2.5
sealed-MBP16	1.0	0.292	1	1	0.5	3.0
hpb	0.667	0.281	1	1	0.5	3.0
smra	1.0	0.341	1	1	0.5	3.0
sealed-MBP16	1.0	0.608	1	1	1.0	0.0
hpb	1.0	0.651	1	1	1.0	0.0
smra	1.0	0.649	1	1	1.0	0.0
sealed-MBP16	1.0	0.723	1	1	1.0	0.5
hpb	1.0	0.801	1	1	1.0	0.5
smra	1.0	0.799	1	1	1.0	0.5
sealed-MBP16	1.0	0.875	1	1	1.0	1.0
hpb	1.0	0.983	1	1	1.0	1.0
smra	1.0	1.026	1	1	1.0	1.0
sealed-MBP16	1.0	0.641	1	1	1.0	1.5
hpb	0.863	0.466	1	1	1.0	1.5
smra	0.985	0.762	1	1	1.0	1.5
sealed-MBP16	1.0	0.5	1	1	1.0	2.0
hpb	0.774	0.363	1	1	1.0	2.0
smra	0.976	0.627	1	1	1.0	2.0
sealed-MBP16	1.0	0.41	1	1	1.0	2.5
hpb	0.717	0.298	1	1	1.0	2.5
smra	0.98	0.514	1	1	1.0	2.5
sealed-MBP16	1.0	0.347	1	1	1.0	3.0
hpb	0.678	0.252	1	1	1.0	3.0
smra	0.983	0.435	1	1	1.0	3.0
sealed-MBP16	1.0	0.456	1	1	1.5	0.0
hpb	1.0	0.52	1	1	1.5	0.0
smra	1.0	0.524	1	1	1.5	0.0
sealed-MBP16	1.0	0.542	1	1	1.5	0.5
hpb	0.984	0.595	1	1	1.5	0.5
smra	1.0	0.61	1	1	1.5	0.5
sealed-MBP16	1.0	0.641	1	1	1.5	1.0
hpb	0.985	0.734	1	1	1.5	1.0
smra	0.969	0.747	1	1	1.5	1.0
sealed-MBP16	1.0	0.76	1	1	1.5	1.5
hpb	0.972	0.751	1	1	1.5	1.5
smra	1.0	0.84	1	1	1.5	1.5
sealed-MBP16	1.0	0.631	1	1	1.5	2.0
hpb	0.881	0.606	1	1	1.5	2.0
smra	1.0	0.739	1	1	1.5	2.0
sealed-MBP16	1.0	0.521	1	1	1.5	2.5
hpb	0.779	0.266	1	1	1.5	2.5
smra	1.0	0.61	1	1	1.5	2.5
sealed-MBP16	1.0	0.444	1	1	1.5	3.0
hpb	0.736	0.227	1	1	1.5	3.0
smra	1.0	0.52	1	1	1.5	3.0
sealed-MBP16	1.0	0.354	1	1	2.0	0.0
hpb	1.0	0.402	1	1	2.0	0.0
smra	1.0	0.406	1	1	2.0	0.0
sealed-MBP16	1.0	0.422	1	1	2.0	0.5
hpb	0.964	0.462	1	1	2.0	0.5
smra	1.0	0.474	1	1	2.0	0.5
sealed-MBP16	1.0	0.5	1	1	2.0	1.0
hpb	1.0	0.573	1	1	2.0	1.0
smra	0.976	0.582	1	1	2.0	1.0
sealed-MBP16	1.0	0.631	1	1	2.0	1.5
hpb	0.972	0.595	1	1	2.0	1.5
smra	1.0	0.717	1	1	2.0	1.5
sealed-MBP16	1.0	0.723	1	1	2.0	2.0
hpb	0.968	0.62	1	1	2.0	2.0
smra	1.0	0.784	1	1	2.0	2.0
sealed-MBP16	1.0	0.633	1	1	2.0	2.5
hpb	0.855	0.543	1	1	2.0	2.5
smra	1.0	0.711	1	1	2.0	2.5
sealed-MBP16	1.0	0.543	1	1	2.0	3.0
hpb	0.837	0.453	1	1	2.0	3.0
smra	1.0	0.628	1	1	2.0	3.0
sealed-MBP16	1.0	0.288	1	1	2.5	0.0
hpb	1.0	0.328	1	1	2.5	0.0
smra	1.0	0.331	1	1	2.5	0.0
sealed-MBP16	1.0	0.345	1	1	2.5	0.5
hpb	0.951	0.378	1	1	2.5	0.5
smra	1.0	0.388	1	1	2.5	0.5
sealed-MBP16	1.0	0.41	1	1	2.5	1.0
hpb	1.01	0.469	1	1	2.5	1.0
smra	0.98	0.477	1	1	2.5	1.0
sealed-MBP16	1.0	0.521	1	1	2.5	1.5
hpb	0.958	0.491	1	1	2.5	1.5
smra	1.0	0.592	1	1	2.5	1.5
sealed-MBP16	1.0	0.633	1	1	2.5	2.0
hpb	0.973	0.545	1	1	2.5	2.0
smra	1.0	0.709	1	1	2.5	2.0
sealed-MBP16	1.0	0.701	1	1	2.5	2.5
hpb	0.966	0.548	1	1	2.5	2.5
smra	1.0	0.749	1	1	2.5	2.5
sealed-MBP16	1.0	0.629	1	1	2.5	3.0
hpb	0.91	0.479	1	1	2.5	3.0
smra	1.0	0.685	1	1	2.5	3.0
sealed-MBP16	1.0	0.244	1	1	3.0	0.0
hpb	1.0	0.277	1	1	3.0	0.0
smra	1.0	0.28	1	1	3.0	0.0
sealed-MBP16	1.0	0.292	1	1	3.0	0.5
hpb	0.942	0.32	1	1	3.0	0.5
smra	1.0	0.328	1	1	3.0	0.5
sealed-MBP16	1.0	0.347	1	1	3.0	1.0
hpb	1.017	0.397	1	1	3.0	1.0
smra	0.983	0.404	1	1	3.0	1.0
sealed-MBP16	1.0	0.444	1	1	3.0	1.5
hpb	0.948	0.419	1	1	3.0	1.5
smra	1.0	0.505	1	1	3.0	1.5
