auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.5	1	1	0.5	0.5
hpb	0.976	0.594	1	1	0.5	0.5
smra	1.0	0.593	1	1	0.5	0.5
sealed-MBP16	1.0	0.708	1	1	0.75	0.75
hpb	0.966	0.834	1	1	0.75	0.75
smra	0.966	0.846	1	1	0.75	0.75
sealed-MBP16	1.0	0.875	1	1	1	1
hpb	1.0	0.983	1	1	1	1
smra	1.0	1.026	1	1	1	1
sealed-MBP16	1.0	0.79	1	1	1.25	1.25
hpb	0.975	0.829	1	1	1.25	1.25
smra	1.0	0.884	1	1	1.25	1.25
sealed-MBP16	1.0	0.76	1	1	1.5	1.5
hpb	0.972	0.751	1	1	1.5	1.5
smra	1.0	0.84	1	1	1.5	1.5
sealed-MBP16	1.0	0.739	1	1	1.75	1.75
hpb	0.97	0.665	1	1	1.75	1.75
smra	1.0	0.802	1	1	1.75	1.75
sealed-MBP16	1.0	0.723	1	1	2	2
hpb	0.968	0.62	1	1	2	2
smra	1.0	0.784	1	1	2	2
sealed-MBP16	1.0	0.711	1	1	2.25	2.25
hpb	0.967	0.594	1	1	2.25	2.25
smra	1.0	0.752	1	1	2.25	2.25
sealed-MBP16	1.0	0.701	1	1	2.5	2.5
hpb	0.966	0.548	1	1	2.5	2.5
smra	1.0	0.749	1	1	2.5	2.5
sealed-MBP16	1.0	0.692	1	1	2.75	2.75
hpb	0.965	0.516	1	1	2.75	2.75
smra	1.0	0.738	1	1	2.75	2.75
sealed-MBP16	1.0	0.686	1	1	3	3
hpb	0.964	0.494	1	1	3	3
smra	1.0	0.714	1	1	3	3
